Year,Round,SeasonRoundNumber,TeamID,Team,RatingAtt,RatingDef,RatingOverall,RankAtt,RankDef,RankOverall,Matches,Wins,Losses,Draws,For,Against,Percentage,Points,MR
2000,0,24,2,Bris,15.51,-2.187,13.323,3,9,3,24,13,11,0,2781,2449,113.56,52,54.166666666666664
2000,0,24,3,Carl,16.127,17.209,33.336,2,2,2,24,17,7,0,2905,2144,135.49,68,70.83333333333334
2000,0,24,4,Coll,-6.471,-5.639,-12.11,11,13,13,22,7,15,0,2089,2431,85.93,28,31.818181818181817
2000,0,24,5,Ess,24.469,20.302,44.771,1,1,1,23,22,1,0,3014,1843,163.54,88,95.65217391304348
2000,0,24,6,Frem,-17.002,-12.749,-29.750999999999998,15,16,16,22,8,14,0,1886,2618,72.04,32,36.36363636363637
2000,0,24,7,Geel,-2.198,-5.262,-7.459999999999999,8,12,11,23,12,10,1,2317,2398,96.62,50,54.347826086956516
2000,0,24,8,Haw,-2.847,4.244,1.3969999999999998,10,5,7,24,13,11,0,2390,2444,97.79,52,54.166666666666664
2000,0,24,9,NM,5.652,-4.655,0.9969999999999999,5,11,8,24,15,9,0,2630,2602,101.08,60,62.5
2000,0,24,10,Melb,13.057,-0.342,12.715,4,8,4,23,15,8,0,2653,2246,118.12,60,65.21739130434783
2000,0,24,11,Port,-11.163,6.552,-4.611000000000001,14,3,9,22,7,14,1,1928,2295,84.01,30,34.090909090909086
2000,0,24,12,Rich,-8.614,0.591,-8.023000000000001,12,7,12,22,11,11,0,2068,2221,93.11,44,50
2000,0,24,13,St K,-17.104,-9.529,-26.633,16,14,15,22,2,19,1,1855,2631,70.51,10,11.363636363636363
2000,0,24,14,Syd,0.557,2.97,3.527,7,6,6,22,10,12,0,2254,2219,101.58,40,45.45454545454545
2000,0,24,15,WC,-9.211,-11.575,-20.786,13,15,14,22,7,14,1,2216,2399,92.37,30,34.090909090909086
2000,0,24,16,WB,2.001,4.261,6.2620000000000005,6,4,5,23,12,11,0,2397,2351,101.96,48,52.17391304347826
2000,0,25,1,Adel,-2.942,-4.013,-6.955,9,10,10,22,9,13,0,2255,2347,96.08,36,40.909090909090914
2000,0,25,2,Bris,15.332,-2.009,13.323,3,9,4,24,13,11,0,2781,2449,113.56,52,54.166666666666664
2000,0,25,3,Carl,14.69,15.313,30.003,4,2,2,25,17,8,0,2985,2269,131.56,68,68
2000,0,25,4,Coll,-6.649,-5.461,-12.11,11,12,13,22,7,15,0,2089,2431,85.93,28,31.818181818181817
2000,0,25,5,Ess,26.366,21.739,48.105000000000004,1,1,1,24,23,1,0,3139,1923,163.23,92,95.83333333333334
2000,0,25,6,Frem,-17.18,-12.571,-29.750999999999998,15,16,16,22,8,14,0,1886,2618,72.04,32,36.36363636363637
2000,0,25,7,Geel,-2.376,-5.084,-7.459999999999999,8,11,11,23,12,10,1,2317,2398,96.62,50,54.347826086956516
2000,0,25,8,Haw,-3.025,4.422,1.3969999999999998,10,5,7,24,13,11,0,2390,2444,97.79,52,54.166666666666664
2000,0,25,9,NM,3.679,-8.303,-4.6240000000000006,5,13,9,25,15,10,0,2736,2758,99.2,60,60
2000,0,25,10,Melb,16.706,1.63,18.336,2,7,3,24,16,8,0,2809,2352,119.43,64,66.66666666666666
2000,0,25,11,Port,-11.341,6.73,-4.610999999999999,14,3,8,22,7,14,1,1928,2295,84.01,30,34.090909090909086
2000,0,25,12,Rich,-8.792,0.769,-8.023,12,8,12,22,11,11,0,2068,2221,93.11,44,50
2000,0,25,13,St K,-17.282,-9.351,-26.633000000000003,16,14,15,22,2,19,1,1855,2631,70.51,10,11.363636363636363
2000,0,25,14,Syd,0.379,3.148,3.527,7,6,6,22,10,12,0,2254,2219,101.58,40,45.45454545454545
2000,0,25,15,WC,-9.389,-11.397,-20.786,13,15,14,22,7,14,1,2216,2399,92.37,30,34.090909090909086
2000,0,25,16,WB,1.824,4.439,6.263,6,4,5,23,12,11,0,2397,2351,101.96,48,52.17391304347826
2000,0,26,1,Adel,-2.985,-3.971,-6.9559999999999995,9,10,10,22,9,13,0,2255,2347,96.08,36,40.909090909090914
2000,0,26,2,Bris,15.289,-1.967,13.322,3,9,4,24,13,11,0,2781,2449,113.56,52,54.166666666666664
2000,0,26,3,Carl,14.648,15.355,30.003,4,2,2,25,17,8,0,2985,2269,131.56,68,68
2000,0,26,4,Coll,-6.691,-5.418,-12.109,11,12,13,22,7,15,0,2089,2431,85.93,28,31.818181818181817
2000,0,26,5,Ess,28.296,23.073,51.369,1,1,1,25,24,1,0,3274,1998,163.86,96,96
2000,0,26,6,Frem,-17.222,-12.529,-29.751,15,16,16,22,8,14,0,1886,2618,72.04,32,36.36363636363637
2000,0,26,7,Geel,-2.419,-5.042,-7.461,8,11,11,23,12,10,1,2317,2398,96.62,50,54.347826086956516
2000,0,26,8,Haw,-3.068,4.464,1.3960000000000004,10,5,7,24,13,11,0,2390,2444,97.79,52,54.166666666666664
2000,0,26,9,NM,3.637,-8.261,-4.623999999999999,5,13,9,25,15,10,0,2736,2758,99.2,60,60
2000,0,26,10,Melb,15.371,-0.3,15.071,2,8,3,25,16,9,0,2884,2487,115.96,64,64
2000,0,26,11,Port,-11.383,6.773,-4.609999999999999,14,3,8,22,7,14,1,1928,2295,84.01,30,34.090909090909086
2000,0,26,12,Rich,-8.834,0.812,-8.022,12,7,12,22,11,11,0,2068,2221,93.11,44,50
2000,0,26,13,St K,-17.325,-9.309,-26.634,16,14,15,22,2,19,1,1855,2631,70.51,10,11.363636363636363
2000,0,26,14,Syd,0.337,3.191,3.528,7,6,6,22,10,12,0,2254,2219,101.58,40,45.45454545454545
2000,0,26,15,WC,-9.431,-11.354,-20.784999999999997,13,15,14,22,7,14,1,2216,2399,92.37,30,34.090909090909086
2000,0,26,16,WB,1.781,4.482,6.263,6,4,5,23,12,11,0,2397,2351,101.96,48,52.17391304347826
2001,0,0,1,Adel,-1.913,-2.545,-4.458,9,10,10,0,0,0,0,0,0,,0,
2001,0,0,2,Bris,9.8,-1.261,8.539000000000001,3,9,4,0,0,0,0,0,0,,0,
2001,0,0,3,Carl,9.389,9.843,19.232,4,2,2,0,0,0,0,0,0,,0,
2001,0,0,4,Coll,-4.289,-3.473,-7.762,11,12,13,0,0,0,0,0,0,,0,
2001,0,0,5,Ess,18.138,14.79,32.928,1,1,1,0,0,0,0,0,0,,0,
2001,0,0,6,Frem,-11.039,-8.031,-19.07,15,16,16,0,0,0,0,0,0,,0,
2001,0,0,7,Geel,-1.55,-3.232,-4.782,8,11,11,0,0,0,0,0,0,,0,
2001,0,0,8,Haw,-1.966,2.862,0.8960000000000001,10,5,7,0,0,0,0,0,0,,0,
2001,0,0,9,NM,2.331,-5.295,-2.964,5,13,9,0,0,0,0,0,0,,0,
2001,0,0,10,Melb,9.853,-0.193,9.66,2,8,3,0,0,0,0,0,0,,0,
2001,0,0,11,Port,-7.297,4.341,-2.9559999999999995,14,3,8,0,0,0,0,0,0,,0,
2001,0,0,12,Rich,-5.663,0.52,-5.143000000000001,12,7,12,0,0,0,0,0,0,,0,
2001,0,0,13,St K,-11.105,-5.967,-17.072,16,14,15,0,0,0,0,0,0,,0,
2001,0,0,14,Syd,0.216,2.045,2.261,7,6,6,0,0,0,0,0,0,,0,
2001,0,0,15,WC,-6.046,-7.278,-13.324,13,15,14,0,0,0,0,0,0,,0,
2001,0,0,16,WB,1.142,2.873,4.015000000000001,6,4,5,0,0,0,0,0,0,,0,
2001,1,1,1,Adel,-2.139,-4.03,-6.1690000000000005,10,11,12,1,0,1,0,74,126,58.73,0,0
2001,1,1,2,Bris,7.994,-2.503,5.491,4,9,3,1,0,1,0,93,99,93.94,0,0
2001,1,1,3,Carl,9.213,6.072,15.285,2,3,2,1,1,0,0,119,118,100.85,4,100
2001,1,1,4,Coll,-3.81,0.454,-3.356,11,8,10,1,0,1,0,81,85,95.29,0,0
2001,1,1,5,Ess,17.63,18.854,36.483999999999995,1,1,1,1,1,0,0,146,61,239.34,4,100
2001,1,1,6,Frem,-7.269,-7.855,-15.124,15,16,15,1,0,1,0,118,119,99.16,0,0
2001,1,1,7,Geel,-1.394,2.82,1.426,8,4,7,1,1,0,0,115,49,234.69,4,100
2001,1,1,8,Haw,-5.893,2.382,-3.5109999999999997,13,5,11,1,1,0,0,85,81,104.94,4,100
2001,1,1,9,NM,-1.733,-4.788,-6.521000000000001,9,12,13,1,0,1,0,61,146,41.78,0,0
2001,1,1,10,Melb,8.996,-5.983,3.013000000000001,3,14,5,1,0,1,0,103,134,76.87,0,0
